Having Our Way (feat. Drake),Migos,"['rap', 'pop']",rap
working,"Tate McRae, Khalid","['pop', 'rock']",pop
Petrouchka (feat. PLK),Soso Maness,"['rap', 'pop']",rap
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,"['rap', 'pop', 'rock']",pop
my ex's best friend (with blackbear),Machine Gun Kelly,"['rap', 'pop']",pop
HIGHEST IN THE ROOM,Travis Scott,"['rap', 'pop']",rap
Laugh Now Cry Later (feat. Lil Durk),Drake,"['rap', 'pop']",rap
Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole","['rap', 'pop']",rap
In the End,Linkin Park,"['rock', 'rap']",rock
SICKO MODE,Travis Scott,"['rap', 'pop']",rap
Straightenin,Migos,"['rap', 'pop']",rap
Lost,Maroon 5,"['rock', 'pop']",pop
Avalanche,Migos,"['rap', 'pop']",rap
Malibu (feat. Polo G),Migos,"['rap', 'pop']",rap
Modern Day,Migos,"['rap', 'pop']",rap
SUN GOES DOWN,Lil Nas X,"['pop', 'rap']",pop
Last Train Home,John Mayer,"['rock', 'pop']",pop
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers","['rap', 'pop']",pop
CORALINE,Måneskin,"['pop', 'rock']",rock
BICHOTA,KAROL G,pop,pop
All Girls Are The Same,Juice WRLD,"['pop', 'rap']",rap
734,Juice WRLD,"['pop', 'rap']",rap
Seeing Green (with Drake & Lil Wayne),Nicki Minaj,"['pop', 'rap']",rap
Dark Side,Blind Channel,"['rock', 'pop']",rock
What’s Next,Drake,"['rap', 'pop']",rap
Ramen & OJ,"Joyner Lucas, Lil Baby","['rap', 'pop']",rap
Cloud 9,Beach Bunny,"['pop', 'rock']",rock
"Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product","['rap', 'pop']",rap
PROBLEMA,Daddy Yankee,rap,rap
If the World Was Ending - feat. Julia Michaels,JP Saxe,"['rock', 'pop', 'r&b']",pop
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,"['rap', 'pop']",rap
"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante","['rap', 'pop']",rap
HOLIDAY,Lil Nas X,"['pop', 'rap']",pop
At My Worst,Pink Sweat$,"['pop', 'r&b']",pop
Life Is Good (feat. Drake),Future,"['rap', 'pop']",rap
Wishing Well,Juice WRLD,"['pop', 'rap']",pop
Tapão Na Raba,Raí Saia Rodada,pop,pop
Machu Picchu,"Camilo, Evaluna Montaner","['rap', 'pop']",pop
Come & Go (with Marshmello),Juice WRLD,"['pop', 'rap']",pop
Robbery,Juice WRLD,"['pop', 'rap']",rap
love race (feat. Kellin Quinn),Machine Gun Kelly,"['rap', 'pop']",pop
POPSTAR (feat. Drake),DJ Khaled,"['rap', 'pop']",rap
LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,"['rap', 'pop']",rap
Girl From Rio,Anitta,"['pop', 'rock']",pop
Come Through (feat. Chris Brown),H.E.R.,"['r&b', 'pop']",r&b
Goosebumps,HVME,"['rap', 'pop']",pop
In Your Eyes,The Weeknd,"['r&b', 'pop']",pop
Good Without,Mimi Webb,"['pop', 'rock']",pop
"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",pop,pop
Why'd You Only Call Me When You're High?,Arctic Monkeys,"['rock', 'pop']",rock
X Gon' Give It To Ya,DMX,"['rap', 'pop']",rap
Ruff Ryders' Anthem,DMX,"['rap', 'pop']",rap
Chica Ideal,"Sebastian Yatra, Guaynaa",pop,pop
Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","['rap', 'pop']",pop
What Other People Say,"Sam Fischer, Demi Lovato","['pop', 'rock']",pop
Hayloft,Mother Mother,"['pop', 'rock']",rock
Payphone,"Maroon 5, Wiz Khalifa","['rock', 'pop']",pop
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,"['rap', 'pop']",rap
Take on Me,a-ha,"['pop', 'rock']",rock
