Meu Pedaço de Pecado,rock
Dinero,r&b
In Da Getto,pop
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",rap
París,pop
Aquelas Coisas,rock
"Não, Não Vou",rock
Como Si No Importara,pop
Se For Amor,rock
Lost Cause,pop
BICHOTA,pop
PROBLEMA,rap
Tapão Na Raba,pop
"Ele É Ele, Eu Sou Eu",pop
Chica Ideal,pop
"Ay, DiOs Mío!",r&b
Rojo,rap
PORFA,pop
Indeciso,pop
Con Calma,pop
